final_key	disposition	source_key	match_basis	year	doi	title
Margoni2023	add	Margoni2023	no_match_after_three_passes	2023	10.1037/rev0000450	The Violation‑of‑Expectation Paradigm: A Conceptual Overview
marr_vision_1982	reuse	Marr1982	title+first_author+year	1982		Vision: {A} {Computational} {Investigation} into the {Human} {Representation} and {Processing} of {Visual} {Information}
marvin2018targeted	add	marvin2018targeted	no_match_after_three_passes	2018		Targeted syntactic evaluation of language models
matusevych2023infant	add	matusevych2023infant	no_match_after_three_passes	2023		Infant phonetic learning as perceptual space learning: A crosslinguistic evaluation of computational models
mccloskey1989catastrophic	reuse	mccloskey1989catastrophic	exact_key	1989		Catastrophic interference in connectionist networks: The sequential learning problem
michaelov2024strong	add	michaelov2024strong	no_match_after_three_passes	2024		Strong prediction: Language model surprisal explains multiple N400 effects
michaly2025development	add	michaly2025development	no_match_after_three_passes	2025	10.1017/S0305000924000126	Development of derivational morphological knowledge in monolingual and bilingual children: Effects of modality and lexicality
Mitchell2022	add	Mitchell2022	no_match_after_three_passes	2022		Developmental noise is an overlooked contributor to innate variation in psychological traits
Monroy2021	add	Monroy2021	no_match_after_three_passes	2021		Understanding the causes and consequences of variability in infant {ERP} editing practices
nguyen2022word	reuse	nguyen2022word	exact_key	2022		Are word boundaries useful for unsupervised language learning?
PearlSprouse2013	add	PearlSprouse2013	no_match_after_three_passes	2013		Syntactic islands and learning biases: Combining experimental syntax and computational modeling to investigate the language acquisition problem
Pelucchi2009	add	Pelucchi2009	no_match_after_three_passes	2009	10.1111/j.1467-8624.2009.01290.x	Statistical learning in a natural language by 8-month-old infants
Perfors2011	add	Perfors2011	no_match_after_three_passes	2011		The learnability of abstract syntactic principles
poli2024modeling	add	poli2024modeling	no_match_after_three_passes	2024		Modeling the initial state of early phonetic learning in infants
raffel2020exploring	add	raffel2020exploring	no_match_after_three_passes	2020		Exploring the limits of transfer learning with a unified text-to-text transformer
Reali2004	add	Reali2004	no_match_after_three_passes	2004		Structure dependence in language acquisition: Uncovering the statistical richness of the stimulus
rumelhart_learning_1986	reuse	RumelhartMcClelland1986	title+first_author+year	1986		On learning the past tenses of {English} verbs
saffran1996statistical	reuse	Saffran1996	title+first_author+year	1996		Statistical learning by 8-month-old infants
salazar_masked_2020	reuse	Salazar2020	title+first_author+year	2020	10.18653/v1/2020.acl-main.240	Masked {Language} {Model} {Scoring}
Schatz2013	add	Schatz2013	no_match_after_three_passes	2013		Evaluating speech features with the minimal-pair {ABX} task: Analysis of the classical {MFC/PLP} pipeline
Schatz2014	add	Schatz2014	no_match_after_three_passes	2014		Evaluating speech features with the minimal-pair {ABX} task ({II}): Resistance to noise
schatz2021early	add	schatz2021early	no_match_after_three_passes	2021		Early phonetic learning without phonetic categories: Insights from large-scale simulations on realistic input
schreiner2024limited	add	schreiner2024limited	no_match_after_three_passes	2024		Limited evidence of test-retest reliability in infant-directed speech preference in a large preregistered infant experiment
schuhmann2022laion	add	schuhmann2022laion	no_match_after_three_passes	2022		Laion-5b: An open large-scale dataset for training next generation image-text models
SmithLevy2013	add	SmithLevy2013	no_match_after_three_passes	2013		The role of surprisal in human sentence processing: Evidence from reading times and comprehension
srivastava_dropout_2014	reuse	Srivastava2014	title+first_author+year	2014		Dropout: a simple way to prevent neural networks from overfitting
Strachan2024	add	Strachan2024	no_match_after_three_passes	2024	10.1038/s41562-024-01882-z	Testing theory of mind in large language models and humans
sullivan_saycam_2022	reuse	sullivan2021saycam	manual_version_resolution	2021	10.1162/opmi_a_00039	{SAYCam}: {A} {Large}, {Longitudinal} {Audiovisual} {Dataset} {Recorded} {From} the {Infant}’s {Perspective}
summers2021nondeterminism	add	summers2021nondeterminism	no_match_after_three_passes	2021		Nondeterminism and instability in neural network optimization
Sundara2018	add	Sundara2018	no_match_after_three_passes	2018		Young infants' discrimination of subtle phonetic contrasts
Tomasello1995	add	Tomasello1995	no_match_after_three_passes	1995		Joint attention as social cognition
tomasello2003constructing	reuse	Tomasello2003	title+first_author+year	2003		Constructing a language: A usage-based theory of language acquisition
